feature,mean_shap
TransactionAmt,0.47154215
C5,0.43175724
is_night,0.39624336
is_weekend,0.383222
hour,0.31569797
day_of_week,0.2985218
C1,0.25465026
D3,0.24771594
amt_log,0.23160367
card6_enc,0.1935895
identity_count,0.18021591
C2,0.18019362
card3,0.17938113
D4,0.17366944
C6,0.14568388
D2,0.12404859
D1,0.10478812
card1,0.10368581
card2,0.10083149
C8,0.09761241
C9,0.07930731
card4_enc,0.06492555
product_enc,0.05343468
card5,0.04562427
V12,0.04549538
is_mobile,0.038406298
amt_rounded,0.03656613
has_identity,0.036099385
C4,0.035173565
V13,0.027003042
r_email_isna,0.02697876
C10,0.02027732
C7,0.016641878
V15,0.016574679
p_email_isna,0.012808583
C3,0.011350524
V3,0.009688399
email_match,0.0095458655
amt_cents_99,0.009410761
V2,0.008983213
V4,0.005313324
V14,0.0047062202
p_email_risky,0.004549812
V5,0.0021969404
V1,0.0016977421
